A2C893C5YNJNTD,GREAT,73.1,1149,99.39%,3481,100%,100%,0,97.38%,DNR_DPMO
A2DI9LQB3TPRK2,GREAT,71.35,1045,99.43%,957,92.5%,75%,0,95.57%,DNR_DPMO
A2FTOCZWFXVYMO,GREAT,79.21,222,98.67%,-,71.88%,-,0,-,DCR
A2FTZHHWZSCBDS,FAIR,54.45,884,98.44%,1131,94.36%,50%,1,100%,CE
A2I9Z2EENWX0LK,GREAT,84.58,966,99.18%,-,99.44%,50%,0,97.84%,DCR
A2MKVEX4LK0X28,POOR,47.51,1435,96.37%,1394,91.91%,11.76%,0,100%,DCR
A2R33UEOBGORIM,GREAT,81.28,1125,99.47%,889,94.37%,93.75%,0,95.64%,DNR_DPMO
A2RYJP0VMFKA0J,FAIR,69.2,1418,97.79%,-,97.99%,93.33%,0,95.44%,DCR
A2V4SRR4KS6CJW,FAIR,55.49,671,93.19%,1490,97.35%,50%,0,96.23%,DCR
A2Z0GWVKMAMY0I,POOR,33.83,517,97.73%,3868,52.94%,92.31%,0,93.77%,DNR_DPMO
A2ZW4XEBHEEK44,GREAT,72.36,1399,97.49%,715,99.33%,100%,0,90.12%,DCR
A30DX7GFDJGF6Y,FAIR,61.18,848,95.5%,-,92.86%,98.29%,0,96.9%,DCR
A32WAYZS6L8X36,GREAT,76.14,684,98.13%,0,82.27%,90%,0,93.25%,POD
A33G0EZ5ILNHRV,POOR,33.33,648,97.59%,3086,77.7%,92.31%,0,87.65%,DNR_DPMO
A37IBZ430I44OD,POOR,37.15,625,96.6%,3200,100%,57.14%,0,95.67%,DNR_DPMO
A3BE8N8YPBQ2G4,GREAT,76.43,848,98.49%,1179,98.05%,0%,0,90.97%,DCR
A3D8QGOAV1JTVJ,FAIR,69.2,204,96.23%,-,97.8%,-,0,-,DCR
A3EAHB2FRKS2PS,POOR,24.42,488,95.69%,6148,91.08%,46.15%,0,92.75%,DNR_DPMO
A3EXHNJJ12V5VM,FAIR,58.82,883,96.4%,1133,98.99%,70%,0,89.86%,DCR
A3HXVQ46YU0AV8,POOR,32.82,901,95.34%,2220,97.04%,0%,0,87.79%,DNR_DPMO
A3HZW064M7U4C7,FAIR,61.93,1032,100%,2907,99.32%,0%,0,100%,DNR_DPMO
A3IIIJ5U4L4B53,GREAT,80.58,1250,99.13%,1600,82.05%,100%,0,100%,DNR_DPMO
